,subject_id,mean_rr,sdnn,rmssd,pnn50,mean_hr,lf_power,hf_power,lf_hf_ratio,systolic_mean,systolic_sd,diastolic_mean,diastolic_sd,pulse_pressure_mean,map,perfusion_index,qrs_width,dpdt_mean
subject_id,1.0,0.014620534591758043,-0.006788762254757978,0.01275071908540875,0.009376485819172593,0.018842108770177553,-0.012170098791756265,0.01810767993785657,0.013626147418504715,0.015565379282831,0.0006768148583426153,-0.016437279422082528,0.010692411105331319,0.0063776345042358806,0.018482848855394883,0.008231102413307762,0.0027598911135487633,0.015837039558933532
mean_rr,0.014620534591758043,1.0,-0.010024810748108912,-0.005050643029541535,-0.018770938161160287,0.0025815865061671866,-0.0016050459892923922,0.03233330189080061,-0.013693621777786753,0.00251604748171688,0.013947702737178845,0.005037827813399117,-0.00726422072195787,-0.002974552925158677,0.01619304000930255,0.014497512341473538,-0.01652612970059703,-0.0027045236550084176
sdnn,-0.006788762254757978,-0.010024810748108912,1.0,-0.0301790727753518,-0.006250537528117692,-0.006952274371460573,0.011763086267268167,0.0025379850668146597,-0.002851963261953623,-0.009821534213619643,-0.00900207083466078,0.003123797249784454,-0.008594491098596061,0.015209404777110525,-0.005943600918774332,-0.012257356006399718,0.0038510107048456616,-0.0052218869909555175
rmssd,0.01275071908540875,-0.005050643029541535,-0.0301790727753518,1.0,0.002814476470853212,0.013403104360905357,0.0019854493717525496,0.027519597111607813,-0.02367524936045192,0.010518775495455998,-0.014124774756747215,0.009944661748298056,0.0003593438063321805,0.026691443951738992,0.00047917386441515523,-0.004715591065585816,-0.008526505328055359,-0.0014452101381890073
pnn50,0.009376485819172593,-0.018770938161160287,-0.006250537528117692,0.002814476470853212,1.0,0.01630166059176313,-0.009086214354393274,0.007233239372346193,-0.003990262369779923,0.0028414822236870205,0.01802743225629695,-0.00943871093405216,0.0029001223665207085,-0.007288153814159195,-0.01432835386330944,-0.002420552423011703,-0.0033973418070289553,-0.0015821133149300423
mean_hr,0.018842108770177553,0.0025815865061671866,-0.006952274371460573,0.013403104360905357,0.01630166059176313,1.0,-0.012751842648003836,0.028216467609114993,-0.0022499427584989893,0.0038064194911031977,0.0036582362701413486,-0.012472053776038166,-0.02316746097365698,0.012843217541327953,-0.003823465440078588,0.011147901150452546,0.008548244411494016,-0.014811429326828062
lf_power,-0.012170098791756265,-0.0016050459892923922,0.011763086267268167,0.0019854493717525496,-0.009086214354393274,-0.012751842648003836,1.0,-0.0017604359239658768,-0.017162143523834942,0.01736407067758499,-0.004592315303891284,0.008428388362776124,-0.00853221314494075,-0.0039718176812869686,0.013545653872020016,0.011557385644907148,0.015962543003417436,0.01352542283782083
hf_power,0.01810767993785657,0.03233330189080061,0.0025379850668146597,0.027519597111607813,0.007233239372346193,0.028216467609114993,-0.0017604359239658768,1.0,-0.003860743768774263,0.00643909723504225,-0.00854638493479604,-0.0013969488780443448,-0.0031507529337533886,-0.009810165427314606,0.013630332890356754,0.005010202641601566,-0.0032329988039069214,0.004510563917256681
lf_hf_ratio,0.013626147418504715,-0.013693621777786753,-0.002851963261953623,-0.02367524936045192,-0.003990262369779923,-0.0022499427584989893,-0.017162143523834942,-0.003860743768774263,1.0,-0.015622340647809695,-4.6347729885125235e-05,0.020403800473240297,0.01312035919441586,0.03174450275289002,0.005272082929044964,0.007172425468112705,0.023207537346590798,-0.006883682992635326
systolic_mean,0.015565379282831,0.00251604748171688,-0.009821534213619643,0.010518775495455998,0.0028414822236870205,0.0038064194911031977,0.01736407067758499,0.00643909723504225,-0.015622340647809695,1.0,0.0015579373252184818,0.009923186478283637,0.012006007755255687,-0.014766310140961313,-0.00458502443217315,-0.014257303093901752,0.034305396639706276,-0.004112082985388011
systolic_sd,0.0006768148583426153,0.013947702737178845,-0.00900207083466078,-0.014124774756747215,0.01802743225629695,0.0036582362701413486,-0.004592315303891284,-0.00854638493479604,-4.6347729885125235e-05,0.0015579373252184818,1.0,-0.0037531739369872576,0.0108566839427446,-0.006314291031016603,0.019161541250307612,-0.008274658457423046,0.001303037190601462,0.0013974800355213363
diastolic_mean,-0.016437279422082528,0.005037827813399117,0.003123797249784454,0.009944661748298056,-0.00943871093405216,-0.012472053776038166,0.008428388362776124,-0.0013969488780443448,0.020403800473240297,0.009923186478283637,-0.0037531739369872576,1.0,0.008034492694521833,0.0026607875456280956,0.0004854708166000972,-0.00044715620771168605,-0.0035504398335966395,0.012159319771370998
diastolic_sd,0.010692411105331319,-0.00726422072195787,-0.008594491098596061,0.0003593438063321805,0.0029001223665207085,-0.02316746097365698,-0.00853221314494075,-0.0031507529337533886,0.01312035919441586,0.012006007755255687,0.0108566839427446,0.008034492694521833,1.0,-0.009556369981857311,-0.011395379416402753,-0.007809480669731304,-0.006186157800089337,-0.004398566259727872
pulse_pressure_mean,0.0063776345042358806,-0.002974552925158677,0.015209404777110525,0.026691443951738992,-0.007288153814159195,0.012843217541327953,-0.0039718176812869686,-0.009810165427314606,0.03174450275289002,-0.014766310140961313,-0.006314291031016603,0.0026607875456280956,-0.009556369981857311,1.0,1.0955991775644648e-05,-0.008469356489643042,-0.01205386167667306,0.0038782134673746634
map,0.018482848855394883,0.01619304000930255,-0.005943600918774332,0.00047917386441515523,-0.01432835386330944,-0.003823465440078588,0.013545653872020016,0.013630332890356754,0.005272082929044964,-0.00458502443217315,0.019161541250307612,0.0004854708166000972,-0.011395379416402753,1.0955991775644648e-05,1.0,-0.004371801447302472,0.011553212637408399,0.002196126344582066
perfusion_index,0.008231102413307762,0.014497512341473538,-0.012257356006399718,-0.004715591065585816,-0.002420552423011703,0.011147901150452546,0.011557385644907148,0.005010202641601566,0.007172425468112705,-0.014257303093901752,-0.008274658457423046,-0.00044715620771168605,-0.007809480669731304,-0.008469356489643042,-0.004371801447302472,1.0,-0.016757391500227793,-0.006040261227923137
qrs_width,0.0027598911135487633,-0.01652612970059703,0.0038510107048456616,-0.008526505328055359,-0.0033973418070289553,0.008548244411494016,0.015962543003417436,-0.0032329988039069214,0.023207537346590798,0.034305396639706276,0.001303037190601462,-0.0035504398335966395,-0.006186157800089337,-0.01205386167667306,0.011553212637408399,-0.016757391500227793,1.0,-0.019079829734353505
dpdt_mean,0.015837039558933532,-0.0027045236550084176,-0.0052218869909555175,-0.0014452101381890073,-0.0015821133149300423,-0.014811429326828062,0.01352542283782083,0.004510563917256681,-0.006883682992635326,-0.004112082985388011,0.0013974800355213363,0.012159319771370998,-0.004398566259727872,0.0038782134673746634,0.002196126344582066,-0.006040261227923137,-0.019079829734353505,1.0
